gene,essential
Avin_21610,False
Avin_21710,False
Avin_21720,False
Avin_21730,False
Avin_21840,False
Avin_21890,False
Avin_21900,False
Avin_21940,False
Avin_21960,False
Avin_21970,False
Avin_21980,False
Avin_21990,False
Avin_22010,False
Avin_22030,False
Avin_22050,False
Avin_22060,False
Avin_22070,False
Avin_22090,False
Avin_22100,False
Avin_22120,False
Avin_22140,False
Avin_22150,False
Avin_22160,False
Avin_22190,False
Avin_22210,False
Avin_22240,False
Avin_22260,False
Avin_22280,False
Avin_22290,False
Avin_22390,False
Avin_22470,False
Avin_22480,False
Avin_22500,False
Avin_22510,False
Avin_22520,False
Avin_22530,False
Avin_22550,False
Avin_22630,False
Avin_22720,False
Avin_22730,False
Avin_22810,False
Avin_22930,False
Avin_23060,False
Avin_23070,False
Avin_23130,False
Avin_23150,False
Avin_23160,True
Avin_23210,False
Avin_23220,False
Avin_23230,False
Avin_23280,False
Avin_23340,False
Avin_23390,False
Avin_23410,False
Avin_23430,False
Avin_23460,False
Avin_23470,True
Avin_23500,True
Avin_23520,True
Avin_23530,True
Avin_23540,True
Avin_23630,False
Avin_23640,False
Avin_23650,False
Avin_23690,False
Avin_23770,False
Avin_23780,False
Avin_23790,False
Avin_23800,False
Avin_23820,False
Avin_24200,False
Avin_24410,False
Avin_24420,False
Avin_24430,False
Avin_24680,False
Avin_24694,False
Avin_24750,False
Avin_24770,False
Avin_24820,False
Avin_24860,False
Avin_24890,False
Avin_24900,False
Avin_24910,False
Avin_24920,False
Avin_24930,False
Avin_24940,False
Avin_24970,False
Avin_24990,False
Avin_25010,False
Avin_25050,True
Avin_25090,False
Avin_25160,False
Avin_25190,False
Avin_25210,False
Avin_25220,False
Avin_25230,False
Avin_25250,False
Avin_25550,False
Avin_25560,False
Avin_25580,False
Avin_25890,False
Avin_25970,False
Avin_25990,False
Avin_26020,False
Avin_26040,False
Avin_26090,False
Avin_26100,False
Avin_26110,False
Avin_26120,False
Avin_26140,False
Avin_26160,False
Avin_26180,False
Avin_26290,False
Avin_26320,False
